iter	Passed	Remaining
0	89	269378
1	213	320089
2	353	352672
3	499	374224
4	648	388308
5	925	461621
6	1072	458451
7	1210	452886
8	1338	444888
9	1471	439983
10	1608	437020
11	1780	443409
12	1925	442473
13	2069	441497
14	2189	435707
15	2314	431633
16	2430	426494
17	2561	424374
18	2719	426694
19	2848	424486
20	2972	421708
21	3088	418028
22	3209	415370
23	3331	413121
24	3443	409727
25	3551	406182
26	3657	402718
27	3787	402049
28	3923	401992
29	4038	399767
30	4168	399274
31	4306	399427
32	4459	400987
33	4579	399475
34	4749	402358
35	4924	405458
36	5054	404799
37	5211	406205
38	5349	406120
39	5486	405994
40	5722	413027
41	6037	425219
42	6314	434245
43	6563	440935
44	6784	445527
45	7021	450902
46	7180	451161
47	7347	451872
48	7479	450478
49	7607	448834
50	7768	449188
51	7896	447691
52	8025	446241
53	8196	447174
54	8362	447788
55	8492	446439
56	8614	444803
57	8760	444375
58	8913	444298
59	9068	444369
60	9203	443450
61	9323	441834
62	9486	442261
63	9637	442100
64	9781	441680
65	9985	443915
66	10147	444210
67	10306	444409
68	10568	448929
69	10819	452865
70	10941	451394
71	11115	452015
72	11269	451871
73	11387	450249
74	11586	451863
75	11722	451020
76	11842	449535
77	11959	448002
78	12098	447325
79	12259	447459
80	12393	446612
81	12505	444999
82	12599	442816
83	12706	441109
84	12803	439092
85	12898	437037
86	12987	434841
87	13084	432985
88	13209	432070
89	13311	430391
90	13419	428970
91	13513	427142
92	13605	425271
93	13723	424249
94	13869	424128
95	14005	423666
96	14107	422202
97	14217	420998
98	14335	420074
99	14451	419098
100	14545	417498
101	14652	416294
102	14775	415584
103	14908	415152
104	15042	414751
105	15159	413893
106	15256	412492
107	15373	411662
108	15479	410566
109	15587	409524
110	15694	408492
111	15805	407555
112	15905	406359
113	15996	404951
114	16100	403900
115	16202	402824
116	16300	401667
117	16407	400743
118	16521	399981
119	16624	398997
120	16741	398348
121	16828	396979
122	16953	396544
123	17076	396058
124	17198	395566
125	17326	395208
126	17454	394863
127	17555	393894
128	17655	392929
129	17753	391935
130	17844	390805
131	17940	389787
132	18045	389001
133	18147	388131
134	18233	386963
135	18326	385924
136	18423	385008
137	18540	384519
138	18646	383799
139	18747	382994
140	18830	381824
141	18920	380811
142	19098	381563
143	19233	381455
144	19356	381115
145	19468	380568
146	19568	379784
147	19676	379169
148	19773	378355
149	19869	377518
150	19988	377142
151	20077	376195
152	20162	375183
153	20237	373998
154	20338	373306
155	20413	372145
156	20493	371098
157	20571	370028
158	20626	368560
159	20725	367883
160	20842	367527
161	20972	367403
162	21079	366892
163	21191	366453
164	21293	365855
165	21477	366663
166	21608	366569
167	21705	365892
168	21793	365072
169	21875	364159
170	21956	363249
171	22038	362359
172	22142	361838
173	22244	361289
174	22321	360332
175	22412	359623
176	22511	359032
177	22616	358563
178	22737	358344
179	22830	357678
180	22997	358179
181	23103	357728
182	23196	357074
183	23304	356665
184	23418	356345
185	23501	355557
186	23576	354651
187	23650	353746
188	23772	353571
189	23864	352943
190	23947	352187
191	24024	351364
192	24102	350540
193	24181	349752
194	24263	349023
195	24346	348308
196	24435	347682
197	24511	346877
198	24593	346164
199	24677	345479
200	24763	344846
201	24857	344306
202	24952	343806
203	25041	343221
204	25166	343129
205	25270	342742
206	25363	342228
207	25443	341536
208	25512	340695
209	25597	340078
210	25685	339515
211	25774	338961
212	25911	339042
213	26023	338791
214	26112	338248
215	26207	337783
216	26282	337064
217	26367	336493
218	26435	335699
219	26509	334980
220	26593	334408
221	26689	333984
222	26771	333378
223	26983	334406
224	27315	336889
225	27492	337452
226	27643	337693
227	27745	337329
228	27851	337018
229	28002	337243
230	28137	337280
231	28261	337188
232	28403	337310
233	28542	337388
234	28653	337137
235	28777	337036
236	28904	336979
237	29038	336989
238	29189	337206
239	29309	337059
240	29414	336743
241	29579	337106
242	29829	338435
243	29904	337772
244	30006	337420
245	30111	337106
246	30197	336574
247	30267	335870
248	30358	335403
249	30455	335011
250	30552	334622
251	30657	334312
252	30757	333951
253	30854	333569
254	30948	333148
255	31075	333094
256	31245	333490
257	31344	333123
258	31433	332657
259	31532	332308
260	31612	331748
261	31696	331242
262	31767	330601
263	31847	330054
264	31920	329447
265	31999	328893
266	32068	328247
267	32140	327640
268	32247	327387
269	32336	326957
270	32440	326684
271	32549	326457
272	32731	326955
273	32845	326773
274	32931	326317
275	33003	325726
276	33085	325240
277	33185	324933
278	33386	325612
279	33501	325444
280	33581	324940
281	33659	324418
282	33730	323833
283	33802	323266
284	33918	323121
